id,title,body_html,vendor,product_type,variants0option1,variants0price,variants1option1,variants1price,variants2option1,variants2price,variants3option1,variants3price,variants4option1,variants4price,variants5option1,variants5price,variants6option1,variants6price,variants7option1,variants7price,variants8option1,variants8price,variants9option1,variants9price,maxPrice
2759196675,Synergistic Bronze Pants,Engineer b2c relationships,"Hand, Olson and Osinski",Pants,Lavender,38.94,Yellow,18.41,,,,,,,,,,,,,,,,,38.94
2759194115,Durable Rubber Clock,Syndicate granular deliverables,Schuppe Group,Clock,Sky blue,1.05,Azure,35.38,,,,,,,,,,,,,,,,,35.38
2759193219,Practical Copper Bottle,Generate user-centric vortals,"Braun, Marvin and Hayes",Bottle,Magenta,0.04,Pink,90.63,Black,2.91,Red,82.57,Olive,59.34,,,,,,,,,,,90.63
2759192387,Heavy Duty Concrete Keyboard,Strategize synergistic e-markets,Stiedemann and Sons,Keyboard,Magenta,14.2,,,,,,,,,,,,,,,,,,,14.2
2759191619,Small Rubber Wallet,Seize front-end e-commerce,Abernathy-Bechtelar,Wallet,Blue,29.33,Turquoise,18.5,,,,,,,,,,,,,,,,,29.33
2759190723,Heavy Duty Wooden Knife,Reintermediate b2c systems,"Runte, Wunsch and Wintheiser",Knife,Red,73.99,Olive,38.04,,,,,,,,,,,,,,,,,73.99
2759189827,Mediocre Silk Car,Empower collaborative paradigms,Murray LLC,Car,Ivory,57.2,Blue,30.88,Violet,50.97,,,,,,,,,,,,,,,57.2
2759187843,Synergistic Rubber Coat,Deploy wireless e-commerce,Rowe-Haag,Coat,Purple,41.52,Sky blue,78.91,Lime,3.25,,,,,,,,,,,,,,,78.91
2759183939,Intelligent Rubber Lamp,Mesh cross-media web-readiness,"Haag, O'Reilly and Hartmann",Lamp,Silver,0.77,White,89.61,Orange,97.42,,,,,,,,,,,,,,,97.42
2759181315,Intelligent Cotton Wallet,Scale 24365 architectures,"Hessel, Bergstrom and Swaniawski",Wallet,White,17.97,Turquoise,44.53,Azure,45.34,Ivory,54.44,Sky blue,92.91,Olive,87.3,Orchid,12.89,,,,,,,92.91
2759180227,Aerodynamic Wooden Table,Matrix turn-key applications,Weimann-Keebler,Table,Magenta,29.84,Maroon,44.22,,,,,,,,,,,,,,,,,44.22
2759179267,Practical Silk Chair,Scale cross-platform web services,Runolfsdottir-Yundt,Chair,Mint green,12.35,Blue,86.3,White,52.05,Cyan,83.71,Orange,38.25,Plum,65.92,Red,47.78,Azure,33.38,Olive,23.09,Teal,52.69,86.3
2759178563,Ergonomic Paper Computer,Enable turn-key infrastructures,Schinner Inc,Computer,White,67.25,Mint green,29.58,Yellow,54.19,Blue,22.88,,,,,,,,,,,,,67.25
2759176835,Heavy Duty Marble Chair,Cultivate clicks-and-mortar infrastructures,Ryan-Wintheiser,Chair,Sky blue,30.43,Turquoise,26.11,White,15.66,Mint green,71.96,Purple,27.94,,,,,,,,,,,71.96
2759175875,Gorgeous Paper Hat,Benchmark turn-key e-tailers,Towne Group,Hat,Purple,6.11,Magenta,92.31,White,94.71,Orange,92.2,Tan,61.35,,,,,,,,,,,94.71
2759173059,Enormous Leather Lamp,Engage out-of-the-box interfaces,Legros-Wilkinson,Lamp,Azure,65.99,Salmon,1.66,,,,,,,,,,,,,,,,,65.99
2759172035,Sleek Cotton Shoes,Benchmark leading-edge technologies,Glover Group,Shoes,Sky blue,20,Orange,0.6,Azure,64.38,Orchid,45.09,Purple,33.11,,,,,,,,,,,64.38
2759171587,Durable Concrete Lamp,Engage plug-and-play action-items,Treutel-Bahringer,Lamp,Orchid,44.23,Turquoise,51.71,,,,,,,,,,,,,,,,,51.71
2759170563,Enormous Marble Plate,Brand value-added channels,Tillman-Gottlieb,Plate,Purple,76.1,Salmon,62.3,,,,,,,,,,,,,,,,,76.1
2759170371,Enormous Marble Hat,Seize frictionless infrastructures,"Anderson, Collier and Dickinson",Hat,Indigo,72.08,Salmon,62.83,Purple,5.62,Magenta,30.64,Blue,26.93,Green,64.99,Red,88.55,Fuchsia,14.81,Orange,80,,,88.55
2759170115,Aerodynamic Rubber Shoes,Syndicate user-centric communities,"Terry, Anderson and Jakubowski",Shoes,Olive,59.98,Teal,64.44,Ivory,24.49,,,,,,,,,,,,,,,64.44
2759169475,Ergonomic Wooden Pants,Syndicate interactive experiences,Sporer-Hyatt,Pants,Pink,92.1,Red,92.37,Blue,9.16,Yellow,18.11,,,,,,,,,,,,,92.37
2759169283,Durable Paper Pants,Mesh integrated functionalities,Will and Sons,Pants,Plum,81.04,Purple,2.38,Black,83.79,Green,78.8,Grey,47.3,Turquoise,85.64,,,,,,,,,85.64
2759169091,Rustic Granite Lamp,Visualize viral bandwidth,Hermiston-Goodwin,Lamp,Black,5.49,Orchid,4.99,Purple,81.72,,,,,,,,,,,,,,,81.72
2759168835,Awesome Cotton Table,Target clicks-and-mortar roi,"Frami, Upton and Bauch",Table,Plum,67.4,,,,,,,,,,,,,,,,,,,67.4
2759168323,Awesome Cotton Computer,Brand synergistic applications,Hills Group,Computer,Black,2.05,Orchid,10.78,Tan,50.54,Teal,91.51,Gold,8.24,,,,,,,,,,,91.51
2759168195,Ergonomic Concrete Wallet,Empower customized experiences,Wolf-Bergstrom,Wallet,Cyan,59.68,Purple,41.48,Fuchsia,37.56,,,,,,,,,,,,,,,59.68
2759168003,Intelligent Wool Gloves,Enable frictionless supply-chains,Luettgen Inc,Gloves,Teal,91.27,Mint green,62.78,Olive,89.55,Red,24.96,,,,,,,,,,,,,91.27
2759167747,Awesome Bronze Computer,Orchestrate holistic web services,Zboncak-Kemmer,Computer,Magenta,56.69,Mint green,63.89,Maroon,18.76,Salmon,97.6,,,,,,,,,,,,,97.6
2759167427,Practical Silk Bag,Innovate distributed interfaces,"Legros, Willms and Von",Bag,Salmon,57,,,,,,,,,,,,,,,,,,,57
2759167235,Mediocre Silk Table,Deliver world-class portals,Bradtke LLC,Table,Azure,44.14,Orange,47.04,Lime,85.29,Silver,39.49,,,,,,,,,,,,,85.29
2759166851,Incredible Silk Keyboard,Aggregate best-of-breed initiatives,"Goodwin, Satterfield and Fritsch",Keyboard,Lime,51.05,Orchid,47.21,Orange,53.73,,,,,,,,,,,,,,,53.73
2759166275,Synergistic Rubber Table,Unleash one-to-one supply-chains,"Waters, Kutch and Greenfelder",Table,Cyan,78.33,Pink,59.08,,,,,,,,,,,,,,,,,78.33
2759166147,Practical Marble Bag,Revolutionize value-added applications,Konopelski LLC,Bag,Black,39.24,Violet,84.42,Olive,21.62,Teal,3.89,Yellow,10.07,Green,98.71,,,,,,,,,98.71
2759165827,Incredible Granite Shoes,Redefine robust channels,"Parker, Roberts and Berge",Shoes,Plum,76.87,Indigo,42.49,Azure,43.56,Orange,18.23,,,,,,,,,,,,,76.87
2759165507,Intelligent Steel Car,Architect mission-critical infrastructures,Kuhlman-Gusikowski,Car,Fuchsia,97.47,,,,,,,,,,,,,,,,,,,97.47
2759165187,Awesome Silk Pants,Expedite impactful schemas,O'Keefe-Stehr,Pants,Silver,46.54,,,,,,,,,,,,,,,,,,,46.54
2759165123,Lightweight Wool Bottle,Drive bleeding-edge systems,"Rice, Ritchie and McKenzie",Bottle,Green,79.9,,,,,,,,,,,,,,,,,,,79.9
2759164739,Lightweight Concrete Shirt,Mesh interactive action-items,Auer-Morar,Shirt,Grey,65.77,,,,,,,,,,,,,,,,,,,65.77
2759164675,Incredible Bronze Keyboard,Disintermediate frictionless interfaces,Mosciski Group,Keyboard,Grey,93.37,Green,58.86,White,43.13,Plum,50.41,Sky blue,26.07,,,,,,,,,,,93.37
2759164291,Mediocre Bronze Shirt,Leverage dynamic paradigms,Walker-Hegmann,Shirt,Olive,79.55,Indigo,20.62,Maroon,41.39,Lavender,96.09,Turquoise,93.25,Azure,68.69,Salmon,56.6,Green,93.92,Sky blue,,,,96.09
2759163843,Mediocre Paper Hat,Iterate bleeding-edge infomediaries,Mills-Douglas,Hat,Black,30.63,Ivory,74.05,,,,,,,,,,,,,,,,,74.05
2759163459,Intelligent Iron Clock,Generate magnetic e-business,Thompson-White,Clock,Sky blue,10.14,Blue,86.2,Lime,9.56,White,46.48,Mint green,26.91,Yellow,26.69,Orchid,61.31,Salmon,24.39,Indigo,,,,86.2
2759163011,Gorgeous Silk Clock,Extend turn-key web services,Borer-Heller,Clock,Turquoise,65.79,Blue,34.58,,,,,,,,,,,,,,,,,65.79
2759162755,Mediocre Silk Knife,Revolutionize compelling synergies,Altenwerth-Schaden,Knife,Tan,93.45,Orchid,48.38,Sky blue,66.49,Grey,8.54,Salmon,63.08,Olive,99.66,Turquoise,88.78,Blue,93.43,,,,,99.66
2759162435,Incredible Aluminum Clock,Unleash mission-critical models,Marvin-Quitzon,Clock,Ivory,3.91,Green,88.85,Sky blue,58.07,Pink,51.33,Lavender,27.96,Maroon,84.3,Yellow,36.31,,,,,,,88.85
2759162243,Aerodynamic Cotton Keyboard,Extend leading-edge bandwidth,Mayer LLC,Keyboard,Blue,6,,,,,,,,,,,,,,,,,,,6
2759161859,Intelligent Linen Car,Reinvent user-centric partnerships,"Mayer, Jerde and Keeling",Car,Yellow,39.13,Pink,42.34,Blue,68.71,Cyan,15.25,,,,,,,,,,,,,68.71
2759161475,Incredible Rubber Table,Architect cross-platform applications,Zemlak-Swaniawski,Table,Lavender,49.22,Magenta,10.76,Teal,29.89,Grey,47.51,Maroon,60.84,,,,,,,,,,,60.84
2759160835,Ergonomic Copper Computer,Seize wireless functionalities,"Boyer, Berge and Welch",Computer,Yellow,93.64,Cyan,48.41,Red,12.45,Tan,53.98,Lime,54.92,Black,3.51,,,,,,,,,93.64
2759160323,Fantastic Wool Bottle,Iterate turn-key systems,Kautzer-Effertz,Bottle,Azure,47.83,Lavender,73.84,Silver,82.47,Tan,13.99,,,,,,,,,,,,,82.47
2759159811,Ergonomic Rubber Plate,Scale revolutionary partnerships,"Harris, Champlin and Hegmann",Plate,Pink,56.34,Blue,79.13,Maroon,27.42,Magenta,38.18,,,,,,,,,,,,,79.13
2759159619,Enormous Cotton Hat,Maximize leading-edge e-commerce,Ziemann Group,Hat,Plum,36.59,Orchid,89.09,,,,,,,,,,,,,,,,,89.09
2759158915,Enormous Concrete Chair,Brand innovative users,Kub and Sons,Chair,Lavender,10.98,Orange,20.75,,,,,,,,,,,,,,,,,20.75
2759158531,Small Cotton Shirt,Matrix vertical architectures,Kautzer Inc,Shirt,Turquoise,38.53,Violet,17.64,Plum,44.33,Salmon,3.09,Pink,22.01,Lime,0.17,Fuchsia,44.78,Magenta,92.15,Ivory,,,,92.15
2759157443,Heavy Duty Concrete Table,Scale enterprise metrics,"McGlynn, Bogan and Grady",Table,Fuchsia,74.44,Yellow,39.19,Sky blue,60.81,,,,,,,,,,,,,,,74.44
2759156611,Heavy Duty Leather Pants,Visualize plug-and-play partnerships,"Cormier, Anderson and O'Kon",Pants,Lavender,82.47,Ivory,4.53,Silver,77.98,Orange,68.18,Teal,92.44,Salmon,50.68,Orchid,62.53,Purple,90.11,Plum,,,,92.44
2759156099,Intelligent Wool Pants,Facilitate killer solutions,"Konopelski, Wilderman and Berge",Pants,Red,42.99,Sky blue,23.74,Violet,46.23,Gold,6.16,,,,,,,,,,,,,46.23
2759155139,Awesome Cotton Computer,Unleash mission-critical bandwidth,"Macejkovic, Murazik and Bernier",Computer,Orange,2.91,Mint green,83.48,Olive,31.06,Orchid,53.72,,,,,,,,,,,,,83.48
2759154883,Small Wooden Shoes,Drive distributed paradigms,"Schultz, Reichel and Marquardt",Shoes,Mint green,14.72,Blue,61.26,,,,,,,,,,,,,,,,,61.26
2759154691,Ergonomic Wool Plate,Benchmark transparent synergies,Weissnat-Larkin,Plate,Green,91.73,Violet,31.68,Grey,27.21,Orange,48.96,,,,,,,,,,,,,91.73
2759154307,Heavy Duty Wool Plate,Architect virtual supply-chains,Goodwin LLC,Plate,Maroon,92.34,Purple,60.16,Lavender,83.13,Turquoise,97.22,Yellow,32.52,,,,,,,,,,,97.22
2759151683,Practical Copper Bottle,E-enable user-centric relationships,Corkery-Nienow,Bottle,Azure,36.89,Ivory,68.6,Purple,7.64,Black,86.44,Turquoise,11.34,Teal,70.04,Olive,7.86,Indigo,54.51,,,,,86.44
2759151363,Heavy Duty Copper Hat,Morph vertical interfaces,Kohler-Johnston,Hat,Red,92.57,Gold,0.83,,,,,,,,,,,,,,,,,92.57
2759150915,Awesome Copper Chair,Synthesize scalable synergies,Lesch-Lockman,Chair,Grey,6.6,Tan,83.38,Olive,19.76,Salmon,79.29,Black,22.31,,,,,,,,,,,83.38
2759149635,Aerodynamic Linen Computer,Whiteboard virtual web services,Connelly LLC,Computer,Cyan,82.13,White,27.26,Plum,85.71,Orchid,75.9,Lavender,62.8,,,,,,,,,,,85.71
2759149251,Ergonomic Cotton Computer,Target efficient web-readiness,Cremin Group,Computer,Lime,0.41,Gold,47.14,Yellow,72.13,Mint green,31.18,Magenta,18.99,Plum,32.13,,,,,,,,,72.13
2759148931,Ergonomic Concrete Clock,Iterate visionary content,Pouros-Senger,Clock,Lime,98.28,Lavender,48.99,Sky blue,56.33,Grey,55.02,Fuchsia,11.68,Red,6.2,Blue,66.61,Olive,12.73,Tan,39.87,,,98.28
2759148483,Practical Copper Bag,Cultivate bleeding-edge infrastructures,Boehm-O'Keefe,Bag,Sky blue,58.55,Pink,69.16,Purple,79.87,,,,,,,,,,,,,,,79.87
2759147587,Practical Paper Shoes,Embrace leading-edge niches,Dicki and Sons,Shoes,Magenta,19.98,Azure,21.5,Pink,64.28,Grey,83.87,Lavender,33.36,Black,41.62,Teal,58.58,Salmon,74.06,,,,,83.87
2759146883,Gorgeous Concrete Plate,Engage sexy infomediaries,Von-Jacobi,Plate,Turquoise,68.58,Silver,36.28,Orange,13.58,Grey,73.02,Teal,59.88,Mint green,73.86,,,,,,,,,73.86
2759146371,Synergistic Wooden Hat,Monetize wireless experiences,Emmerich-Batz,Hat,Maroon,13.39,Olive,28.77,Blue,1.28,Silver,97.23,,,,,,,,,,,,,97.23
2759145347,Gorgeous Linen Clock,Maximize best-of-breed networks,Jenkins LLC,Clock,Salmon,15.96,,,,,,,,,,,,,,,,,,,15.96
2759144899,Small Aluminum Lamp,Maximize bricks-and-clicks communities,Torphy Group,Lamp,Silver,24.89,Olive,15.64,Maroon,11.68,Fuchsia,92.53,Red,69.56,,,,,,,,,,,92.53
2759144323,Sleek Leather Coat,Reinvent next-generation metrics,Wuckert-Blanda,Coat,Purple,10.62,Blue,80.95,Grey,91.19,,,,,,,,,,,,,,,91.19
2759144131,Lightweight Marble Hat,Transition value-added action-items,Dickens-Hoppe,Hat,Gold,85.81,Ivory,94.85,Violet,22.46,Black,27.04,Mint green,15.48,Olive,75.74,,,,,,,,,94.85
2759143811,Aerodynamic Granite Plate,Whiteboard cross-platform users,Schneider and Sons,Plate,Teal,50.88,Turquoise,24.91,Ivory,20.08,Azure,19.45,Grey,3.61,Green,73.59,Blue,16.09,Violet,29.2,Black,20.14,,,73.59
2759143619,Small Plastic Bottle,Cultivate revolutionary technologies,"Mertz, Braun and Dooley",Bottle,Green,98.34,Olive,6.47,,,,,,,,,,,,,,,,,98.34
2759143363,Enormous Iron Wallet,Productize holistic convergence,Witting and Sons,Wallet,Plum,75.91,Gold,47.76,Azure,28.14,Ivory,44.96,Yellow,32.22,Black,38.22,Pink,95.16,Orchid,56.88,Green,0.38,,,95.16
2759142723,Incredible Cotton Watch,Syndicate cross-media action-items,Legros and Sons,Watch,Orange,54.95,,,,,,,,,,,,,,,,,,,54.95
2759142467,Lightweight Rubber Hat,Synergize dynamic e-markets,"Kihn, McGlynn and Goodwin",Hat,Lavender,57.46,Maroon,26.44,Yellow,61.28,White,69.4,Magenta,9.97,Salmon,21.6,,,,,,,,,69.4
2759142147,Ergonomic Concrete Knife,Cultivate dynamic deliverables,Mann LLC,Knife,Lavender,35.11,Violet,79.69,Salmon,82.86,Lime,45.27,,,,,,,,,,,,,82.86
2759141891,Synergistic Paper Gloves,Engineer cross-platform synergies,Rempel and Sons,Gloves,Salmon,38.2,Lime,91.13,Maroon,80.36,Pink,11.12,Indigo,49.19,,,,,,,,,,,91.13
2759141507,Enormous Copper Coat,Repurpose interactive methodologies,Nolan and Sons,Coat,Blue,82.8,,,,,,,,,,,,,,,,,,,82.8
2759141315,Practical Concrete Coat,Whiteboard seamless content,"Rolfson, Brekke and Upton",Coat,Gold,37.72,Olive,2.28,Violet,20.27,Turquoise,33.86,Magenta,12.15,Maroon,43.48,Grey,61.32,Indigo,88.66,Lime,45.89,,,88.66
2759140931,Intelligent Rubber Pants,Extend synergistic platforms,Monahan-Wisoky,Pants,Fuchsia,67.72,Mint green,94.34,Yellow,91.07,,,,,,,,,,,,,,,94.34
2759140291,Fantastic Wool Bench,Matrix out-of-the-box schemas,Schaefer and Sons,Bench,Grey,16.26,Turquoise,16.77,Tan,65.65,Pink,28.51,Green,90.66,Maroon,8.37,Orchid,5.04,Lime,26.25,Cyan,98.21,,,98.21
2759139395,Awesome Bronze Bag,Evolve revolutionary partnerships,Schinner-Bailey,Bag,Plum,7.31,Silver,54.28,Fuchsia,36.06,Lime,31.23,Green,99.3,Lavender,11.24,Orchid,21.51,,,,,,,99.3
2759139139,Heavy Duty Granite Wallet,Visualize extensible networks,Kassulke Group,Wallet,Lime,55.96,Violet,21.98,Cyan,34.66,,,,,,,,,,,,,,,55.96
2759138755,Intelligent Linen Watch,Optimize killer web-readiness,Schroeder Group,Watch,Azure,78.03,Lime,28.54,Red,76.68,,,,,,,,,,,,,,,78.03
2759138307,Gorgeous Paper Coat,Drive efficient users,Donnelly LLC,Coat,Pink,23.88,Ivory,17.47,Gold,6.29,Azure,82.24,Orange,90.09,Mint green,52.03,Turquoise,12.46,Fuchsia,52.15,Maroon,20.38,,,90.09
2759138883,Ergonomic Plastic Bench,Transition 247 bandwidth,Schaden LLC,Bench,Violet,55.26,Mint green,32.14,Pink,90.61,Lavender,98.93,Blue,85.88,Black,97.14,Silver,56.36,Teal,31.9,Maroon,43.42,,,98.93
2759147203,Awesome Concrete Watch,Aggregate value-added e-commerce,Bartoletti-Kozey,Watch,Ivory,69.24,,,,,,,,,,,,,,,,,,,69.24
2759137795,Heavy Duty Plastic Coat,Whiteboard proactive e-services,Marks-Schneider,Coat,Magenta,79.32,Salmon,47.54,Red,20.34,Blue,48.99,Tan,18.89,Turquoise,97.1,Plum,60.65,Green,15.83,,,,,97.1
2759137667,Durable Aluminum Knife,Incubate bricks-and-clicks e-tailers,Bauch Inc,Knife,Yellow,85.67,Fuchsia,32.51,Sky blue,68.58,Orchid,82.42,,,,,,,,,,,,,85.67
2759137539,Synergistic Rubber Pants,Productize collaborative web services,Medhurst Inc,Pants,Salmon,20.14,Purple,6.59,Indigo,43.87,,,,,,,,,,,,,,,43.87
2759137027,Aerodynamic Concrete Clock,Transition rich vortals,"Jenkins, Orn and Blick",Clock,Mint green,4.32,Violet,76.67,,,,,,,,,,,,,,,,,76.67
2759136643,Intelligent Iron Wallet,Facilitate interactive deliverables,Lemke-Mraz,Wallet,Fuchsia,60.15,Turquoise,86.79,Yellow,17.81,Cyan,3.46,Gold,74.9,Lavender,8.82,Tan,40.69,Indigo,74.61,Green,12.48,,,86.79
2759136067,Rustic Silk Bench,Optimize cutting-edge relationships,Ebert-Pfeffer,Bench,Plum,28.56,Gold,38.48,Turquoise,80.94,,,,,,,,,,,,,,,80.94
2759134531,Intelligent Plastic Bench,Optimize integrated eyeballs,Bogisich-Rice,Bench,Maroon,58.07,,,,,,,,,,,,,,,,,,,58.07
2759134083,Gorgeous Aluminum Watch,Visualize end-to-end action-items,Monahan-Christiansen,Watch,Indigo,52.48,Salmon,86.09,White,38.67,Fuchsia,37.43,Violet,47.83,,,,,,,,,,,86.09
2759133891,Practical Steel Lamp,Monetize proactive e-markets,Roberts Inc,Lamp,Plum,82,Teal,83.13,,,,,,,,,,,,,,,,,83.13
2759133571,Practical Marble Table,Exploit web-enabled supply-chains,Daniel-Beatty,Table,Violet,47.41,Orchid,58.8,Silver,65.54,Green,74.92,,,,,,,,,,,,,74.92
2759133251,Heavy Duty Iron Table,Harness interactive platforms,Heaney Group,Table,Indigo,80.14,Ivory,73.62,Turquoise,71.34,Green,92.78,White,87.01,Teal,86.06,Azure,67.74,Salmon,4.59,,,,,92.78
2759132931,Lightweight Wool Knife,Deliver front-end deliverables,Tremblay-Runolfsdottir,Knife,Black,94.07,Red,31.54,Fuchsia,15.07,,,,,,,,,,,,,,,94.07
2759132739,Ergonomic Leather Lamp,Utilize distributed communities,Hane-Johnson,Lamp,Teal,33.55,Grey,16.95,Violet,12.08,Orchid,52.4,,,,,,,,,,,,,52.4
2759132291,Rustic Rubber Shoes,Iterate sticky eyeballs,Keebler Group,Shoes,Pink,94.8,Green,97.95,,,,,,,,,,,,,,,,,97.95
2759131971,Sleek Paper Lamp,Seize next-generation architectures,"Simonis, Hudson and Lockman",Lamp,Purple,77.57,Plum,75.99,Grey,12.94,Violet,66.7,,,,,,,,,,,,,77.57
2759131779,Incredible Plastic Hat,Deploy collaborative initiatives,Hickle-Conn,Hat,Violet,33,Fuchsia,0.7,Azure,14.42,Pink,89.06,Purple,94.86,Lavender,24.77,,,,,,,,,94.86
2759131523,Lightweight Silk Coat,Leverage customized users,Beer-Okuneva,Coat,Yellow,41,,,,,,,,,,,,,,,,,,,41
2759131203,Mediocre Iron Shirt,Mesh world-class technologies,Bernier-Torphy,Shirt,Mint green,82.9,Pink,53.32,Cyan,97.8,Plum,8.43,,,,,,,,,,,,,97.8
2759131075,Practical Marble Lamp,Extend proactive communities,Torphy-Douglas,Lamp,Fuchsia,12.67,Olive,46.63,,,,,,,,,,,,,,,,,46.63
2759130627,Lightweight Leather Knife,Cultivate user-centric markets,"Hessel, Tromp and Smith",Knife,Fuchsia,67.84,,,,,,,,,,,,,,,,,,,67.84
2759130307,Synergistic Concrete Pants,Unleash efficient markets,Lesch Group,Pants,Magenta,69.95,Plum,57.34,Purple,2.92,Sky blue,2.8,Lime,85.4,Orchid,63.1,Cyan,11.15,,,,,,,85.4
2759129987,Incredible Wool Computer,Repurpose leading-edge eyeballs,Gibson-Balistreri,Computer,Olive,93.9,Fuchsia,84.45,Maroon,77.64,Red,64.24,Azure,73.92,Plum,49.15,Lavender,59.43,Magenta,41.22,Sky blue,85.46,,,93.9
2759129667,Enormous Steel Lamp,Iterate front-end functionalities,Renner LLC,Lamp,Azure,43.71,Violet,19.53,Green,48.64,Gold,48.22,Blue,62.59,Silver,88.72,,,,,,,,,88.72
2759129475,Rustic Marble Lamp,Aggregate sexy e-tailers,Gottlieb Group,Lamp,Green,59.8,Lavender,88.25,Maroon,70.19,Sky blue,18.21,Teal,78.57,Yellow,34.32,Pink,25.81,Turquoise,58.9,,,,,88.25
2759129219,Enormous Wooden Car,Orchestrate b2c methodologies,Herman Inc,Car,Purple,26.92,Pink,74.81,Yellow,97.96,Olive,44.21,,,,,,,,,,,,,97.96
2759128707,Practical Leather Shoes,Empower robust deliverables,"Fahey, Champlin and Hills",Shoes,Orange,17.45,White,31.98,Blue,70.7,,,,,,,,,,,,,,,70.7
2759128451,Ergonomic Plastic Clock,Exploit leading-edge vortals,Gleason-Cruickshank,Clock,Magenta,0.74,Green,96.69,Sky blue,12.07,Pink,33.76,Orchid,49.27,,,,,,,,,,,96.69
2759128323,Gorgeous Rubber Knife,Transform extensible e-business,Howe Inc,Knife,Yellow,49.73,,,,,,,,,,,,,,,,,,,49.73
2759127875,Rustic Wool Computer,Redefine end-to-end bandwidth,Kreiger Group,Computer,Gold,11.37,Ivory,90.66,,,,,,,,,,,,,,,,,90.66
2759127747,Incredible Iron Coat,Whiteboard intuitive synergies,Sauer-Ortiz,Coat,Cyan,41.6,Fuchsia,75.92,Lime,96.67,,,,,,,,,,,,,,,96.67
2759127555,Ergonomic Iron Wallet,Reinvent granular technologies,Klein Group,Wallet,Cyan,91.15,Azure,87.83,Blue,88.54,,,,,,,,,,,,,,,91.15
2759127171,Gorgeous Rubber Pants,Brand back-end action-items,Fritsch-Zboncak,Pants,Green,39.61,Gold,19.5,Orchid,48.26,,,,,,,,,,,,,,,48.26
2759126531,Incredible Wool Hat,Reintermediate scalable e-services,"Jast, Douglas and Wiza",Hat,Purple,93.36,Teal,68.19,Orange,14.76,Silver,46.66,Magenta,64.46,Fuchsia,58.97,Lime,78.54,Plum,43.14,Pink,0.65,,,93.36
2759126211,Mediocre Leather Lamp,Embrace impactful functionalities,"Reichel, Nicolas and Weimann",Lamp,Gold,66.25,Purple,68.74,Maroon,60.51,Turquoise,97.68,Green,44.96,Lime,52.94,Grey,17.41,Blue,38.05,,,,,97.68
2759125955,Lightweight Concrete Wallet,Exploit compelling partnerships,Fadel-Tillman,Wallet,Violet,32.47,Mint green,62.69,Lavender,61.24,Pink,80.29,,,,,,,,,,,,,80.29
2759125827,Gorgeous Cotton Gloves,Generate cross-platform eyeballs,"Mohr, Eichmann and Nikolaus",Gloves,Ivory,20.66,,,,,,,,,,,,,,,,,,,20.66
2759125059,Fantastic Leather Wallet,Synthesize compelling technologies,Ankunding-Doyle,Wallet,Green,51.48,Pink,52,Silver,9.25,,,,,,,,,,,,,,,52
2759124675,Gorgeous Plastic Pants,Maximize ubiquitous e-markets,"Collins, Macejkovic and Muller",Pants,Salmon,36.46,Ivory,39.47,,,,,,,,,,,,,,,,,39.47
2759120387,Synergistic Plastic Bag,Exploit real-time content,Reichel LLC,Bag,Salmon,7.05,Lavender,27.84,Sky blue,2.5,Plum,5.26,,,,,,,,,,,,,27.84
2759115651,Durable Aluminum Watch,Expedite cross-platform bandwidth,Haley and Sons,Watch,Violet,2.62,Gold,71.15,Magenta,90.63,,,,,,,,,,,,,,,90.63